2026-02-28 22:56:57,251 | ERROR | uploads.endpoints | Unexpected header format for metric Sleep Analysis. Expected first column to be 'Date/Time'.
Most likely cause: sleep analysis CSV. Received header: ['Start', 'End', 'Duration (hr)', 'Value', 'Source']
2026-02-28 23:10:59,538 | WARNING | uploads.endpoints | Unexpected header format for metric Sleep Analysis. Expected first column to be 'Date/Time'.
Most likely cause: sleep analysis CSV. Received header: ['Start', 'End', 'Duration (hr)', 'Value', 'Source']
2026-02-28 23:12:32,224 | WARNING | uploads.endpoints | Unexpected header format for metric Sleep Analysis. Expected first column to be 'Date/Time'.
Most likely cause: sleep analysis CSV. Received header: ['Start', 'End', 'Duration (hr)', 'Value', 'Source']
2026-03-01 19:39:16,137 | WARNING | uploads.utils | Bad row on line 11.	 CSV entry: {'timestamp': '2026-02-26T22:00:01Z', 'timezone': '51.01583923907144', 'latitude': '-2.192258355820333', 'longitude': '234.962159717371', 'altitude': 'Stationary', 'activity': 'iPhone', 'device': 'No', 'is_locked': '54', 'battery': 'No', 'charging': 'No', 'connected_charger': 'b4:ba:9d:36:50:ed', 'BSSID': '-76', 'RSSI': '[{"code":"GB","is_roaming":"No","provider_name":"EE WiFiCall","radio":"5G NR NSA"},{"code":"GB","is_roaming":"No","provider_name":"O2 - UK","radio":"LTE"}]', 'cellular_states': None}	Exception: invalid literal for int() with base 10: '2026-02-26T22:00:01Z'
2026-03-01 19:39:16,138 | WARNING | uploads.utils | Bad row on line 12.	 CSV entry: {'timestamp': '2026-02-26T22:00:59Z', 'timezone': '+0000', 'latitude': '51.01583923907144', 'longitude': '-2.192258355820333', 'altitude': '234.962159717371', 'activity': 'Stationary', 'device': 'iPhone', 'is_locked': 'No', 'battery': '54', 'charging': 'No', 'connected_charger': 'No', 'BSSID': 'b4:ba:9d:36:50:ed', 'RSSI': '-78', 'cellular_states': '[{"code":"GB","is_roaming":"No","provider_name":"EE WiFiCall","radio":"5G NR NSA"},{"code":"GB","is_roaming":"No","provider_name":"O2 - UK","radio":"LTE"}]'}	Exception: invalid literal for int() with base 10: '2026-02-26T22:00:59Z'
2026-03-02 02:00:03,584 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:00:09,558 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:00:15,294 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:00:21,252 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:00:27,158 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:00:33,075 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:00:38,987 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:00:44,898 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:00:50,640 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:00:56,387 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:01:02,286 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:01:08,217 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:01:14,188 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:01:19,926 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:01:25,669 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:01:31,444 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:01:37,199 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:01:42,991 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:01:48,898 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:01:54,646 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:02:00,437 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:02:06,148 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:02:12,060 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:02:17,965 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:02:23,714 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:02:29,475 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
2026-03-02 02:02:35,211 | WARNING | __main__ | FX API rate limit reached. Re-trying in 5 seconds...
